id	url	page
c3f511ba192139d994c5e3f35c6e2fdf	http://foreign.gov.vc/foreign/index.php/news/702-h-e-david-malaga-ambassador-extraordinary-and-plenipotentiary-of-the-republic-of-peru-presented-letters-of-credence-to-the-governor-general-of-saint-vincent-and-the-grenadines	1
23944bc3c9c0366e8b0c6e9e2b381add	http://foreign.gov.vc/foreign/index.php/news/701-h-e-ms-beate-stir-ambassador-of-the-kingdom-of-norway-presented-letters-of-credence-to-the-governor-general-of-saint-vincent-and-the-grenadines	1
053ca43d112c3430868f67cd3f3661c4	http://foreign.gov.vc/foreign/index.php/news/700-h-e-ms-theodora-magdalena-mircea-ambassador-of-romania-presented-letters-of-credence-to-the-governor-general-of-saint-vincent-and-the-grenadines	1
88305721e24d3a6692d1a3160b0dee43	http://foreign.gov.vc/foreign/index.php/news/698-approved-website-for-purchase-of-second-hand-vehicles-from-japan	1
37175d6b463a3f74b5c097933635847c	http://foreign.gov.vc/foreign/index.php/news/693-letters-of-credence-h-e-francis-etienne-ambassador-extraordinary-and-plenpotentiary-of-the-republic-of-france-to-the-oecs	1
2b0d9af47b1a36498d9e745d566ea41c	http://foreign.gov.vc/foreign/index.php/news/692-svg-calls-for-peace-across-the-taiwan-strait	1
3c599d78251235b98af9d9f020f72b46	http://foreign.gov.vc/foreign/index.php/news/690-h-e-andres-bengtcen-ambassador-of-the-kingdom-of-sweden-to-saint-vincent-and-the-grenadines-presented-credentials-to-the-governor-general-of-saint-vincent-and-the-grenadines	1
717b24c387863fc1b2d29014b5526e33	http://foreign.gov.vc/foreign/index.php/news/688-dr-the-hon-ralph-e-gonsalves-delivered-remarks-at-the-eu-lac-high-level-pharmaceutical-forum-sharing-pharmaceutical-innovations-between-the-european-union-and-latin-america-and-the-caribbean-on-21st-march-2023	1
91cc7d6b074c32379f02a96458fb87d1	http://foreign.gov.vc/foreign/index.php/news/687-eastern-caribbean-green-entrepreneurship-initiative-opens-applications-for-third-cohort-of-incubator-program	1
523f3d9ff0e832fe9aec1fc56e344429	http://foreign.gov.vc/foreign/index.php/news/685-dr-amalia-del-riego-paho-who-representative-for-barbados-and-the-eastern-caribbean-countries-presented-credentials-to-the-honorable-dr-ralph-gonsalves	1
990cd28336923493bff808a4f10f649f	http://foreign.gov.vc/foreign/index.php/news/684-donation-of-school-buses-from-the-government-of-the-republic-of-indonesia	1
